1000, 0.01689, 0.005
2000, 0.00695, 0.005
3000, 0.00547, 0.005
4000, 0.00477, 0.005
5000, 0.00409, 0.005
6000, 0.00389, 0.005
7000, 0.00356, 0.005
8000, 0.00339, 0.005
9000, 0.00319, 0.005
10000, 0.00310, 0.005
11000, 0.00442, 0.02
12000, 0.00350, 0.02
13000, 0.00321, 0.02
14000, 0.00299, 0.02
15000, 0.00280, 0.02
16000, 0.00267, 0.02
17000, 0.00252, 0.02
18000, 0.00248, 0.02
19000, 0.00237, 0.02
20000, 0.00229, 0.02
21000, 0.00222, 0.02
22000, 0.00214, 0.02
23000, 0.00208, 0.02
24000, 0.00201, 0.02
25000, 0.00209, 0.02
26000, 0.00207, 0.02
27000, 0.00191, 0.02
28000, 0.00191, 0.02
29000, 0.00190, 0.02
30000, 0.00187, 0.02
31000, 0.00185, 0.02
32000, 0.00184, 0.02
33000, 0.00183, 0.02
34000, 0.00177, 0.02
35000, 0.00174, 0.02
36000, 0.00179, 0.02
37000, 0.00175, 0.02
38000, 0.00173, 0.02
39000, 0.00174, 0.02
40000, 0.00171, 0.02
41000, 0.00164, 0.02
42000, 0.00166, 0.02
43000, 0.00164, 0.02
44000, 0.00164, 0.02
45000, 0.00165, 0.02
46000, 0.00165, 0.02
47000, 0.00163, 0.02
48000, 0.00164, 0.02
49000, 0.00162, 0.02
50000, 0.00162, 0.02
51000, 0.00154, 0.02
52000, 0.00156, 0.02
